,uid,tic,passed,buffer_size,use_contextlib
62,62,1712730820.873107,0.08182764053344727,3,True
63,63,1712730820.9562743,0.14875173568725586,3,True
64,64,1712730821.0111194,0.09491848945617676,3,True
65,65,1712730821.0680494,0.03959321975708008,3,True
66,66,1712730821.108692,0.22264409065246582,3,True
67,67,1712730821.1971552,0.13418078422546387,3,True
68,68,1712730821.2580485,0.0732874870300293,3,True
69,69,1712730821.3353472,0.08633852005004883,3,True
70,70,1712730821.3391206,0.08407402038574219,3,True
71,71,1712730821.3851368,0.03905463218688965,3,True
72,72,1712730821.4244874,0.21478652954101562,3,True
73,73,1712730821.4581962,0.18211627006530762,3,True
74,74,1712730821.5560215,0.08528971672058105,3,True
75,75,1712730821.6423106,0.344684362411499,6,True
76,76,1712730821.6795192,0.3074758052825928,6,True
77,77,1712730821.7604384,0.22655653953552246,6,True
78,78,1712730821.8583267,0.13119959831237793,6,True
79,79,1712730821.9293964,0.061060428619384766,6,True
80,80,1712730821.945628,0.04482889175415039,6,True
81,81,1712730821.9934409,0.18452191352844238,3,True
82,82,1712730822.0846777,0.09328508377075195,3,True
83,83,1712730822.1115937,0.06636905670166016,3,True
84,84,1712730822.1779628,0.0980076789855957,3,True
85,85,1712730822.2627242,0.014156341552734375,3,True
86,86,1712730822.2703815,0.006499052047729492,3,True
87,87,1712730822.280386,0.22381854057312012,3,True
88,88,1712730822.3740828,0.13302206993103027,3,True
89,89,1712730822.4402742,0.06683063507080078,3,True
90,90,1712730822.5086868,0.15984749794006348,3,True
91,91,1712730822.5378757,0.13165855407714844,3,True
92,92,1712730822.5795584,0.09097409248352051,3,True
93,93,1712730822.6715324,0.23669791221618652,3,True
94,94,1712730822.715648,0.19378209114074707,3,True
95,95,1712730822.8142476,0.09618687629699707,3,True
96,96,1712730822.9104345,0.17497849464416504,3,True
97,97,1712730822.9235554,0.16385984420776367,3,True
98,98,1712730823.0050457,0.08336949348449707,3,True
99,99,1712730823.0904124,0.1803276538848877,3,True
100,100,1712730823.1536767,0.11706328392028809,3,True
101,101,1712730823.2432134,0.0275266170501709,3,True
102,102,1712730823.2727554,0.10106348991394043,3,True
103,103,1712730823.3106925,0.0631263256072998,3,True
104,104,1712730823.336454,0.03842616081237793,3,True
105,105,1712730823.37488,0.08939409255981445,3,True
106,106,1712730823.4124172,0.05185699462890625,3,True
107,107,1712730823.4351375,0.0301361083984375,3,True
108,108,1712730823.4652736,0.06107068061828613,3,True
109,109,1712730823.4762917,0.050052642822265625,3,True
110,110,1712730823.4938,0.03254437446594238,3,True
111,111,1712730823.5298584,0.11857223510742188,3,True
112,112,1712730823.575742,0.07268857955932617,3,True
113,113,1712730823.6113331,0.03709745407104492,3,True
114,114,1712730823.6519423,0.1606156826019287,3,True
115,115,1712730823.7430415,0.07053732872009277,3,True
116,116,1712730823.77781,0.035768747329711914,3,True
117,117,1712730823.814574,0.08238816261291504,3,True
118,118,1712730823.8624156,0.03497505187988281,3,True
119,119,1712730823.8831604,0.01423025131225586,3,True
120,120,1712730823.898392,0.11914324760437012,3,True
121,121,1712730823.91802,0.10202956199645996,3,True
122,122,1712730823.9522967,0.06775283813476562,3,True
123,123,1712730824.0200496,0.22836828231811523,6,True
124,124,1712730824.0626552,0.1877756118774414,6,True
125,125,1712730824.0907607,0.15967011451721191,6,True
126,126,1712730824.1099157,0.14051508903503418,6,True
127,127,1712730824.201321,0.04910993576049805,6,True
128,128,1712730824.2171817,0.0332491397857666,6,True
129,129,1712730824.2504308,0.18090176582336426,3,True
130,130,1712730824.3096378,0.12169480323791504,3,True
131,131,1712730824.401391,0.03094792366027832,3,True
132,132,1712730824.432339,0.10128974914550781,3,True
133,133,1712730824.496562,0.03706669807434082,3,True
134,134,1712730824.5155487,0.019052982330322266,3,True
135,135,1712730824.5346017,0.18069672584533691,3,True
136,136,1712730824.6074994,0.10930943489074707,3,True
137,137,1712730824.6797595,0.037049293518066406,3,True
138,138,1712730824.7168088,0.14162731170654297,3,True
139,139,1712730824.7700026,0.0904383659362793,3,True
140,140,1712730824.8366907,0.02375030517578125,3,True
141,141,1712730824.8611917,0.1948096752166748,3,True
142,142,1712730824.8927636,0.16423749923706055,3,True
143,143,1712730824.9651456,0.09285545349121094,3,True
144,144,1712730825.0588782,0.13159394264221191,3,True
145,145,1712730825.134297,0.05617523193359375,3,True
146,146,1712730825.182381,0.009091377258300781,3,True
147,147,1712730825.192472,0.15167522430419922,3,True
148,148,1712730825.2192512,0.12489604949951172,3,True
149,149,1712730825.293392,0.05304408073425293,3,True
150,150,1712730825.346436,0.05666327476501465,3,True
151,151,1712730825.349757,0.053342342376708984,3,True
152,152,1712730825.3994832,0.0036160945892333984,3,True
153,153,1712730825.4063008,0.1373586654663086,3,True
